Unnamed: 0,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,estas_buscando_trabajo,pluriempleo,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,opcionalen_que_empresaorganizacion_estas_trabajando,company_recommended,tools_copilotchatgpt,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,profile_age,profile_gender,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,sueldo_dolarizado,seniority,_sal
0,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),6500000.0,5800000.0,Cobro parte del salario en dólares,,De uno a tres sueldos,Performance de la compañía,Más de tres,150.0,Octubre,3,"Abono de celular, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, pero escucho ofertas.",,Manager / Director,20,14,8,40,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),2,,,8,5,,Terminar encuesta,,,,,,,,,45,Hombre Cis,Sí,True,Senior,6500000.0
1,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,12700000.0,10200000.0,Cobro todo el salario en dólares,,Un sueldo,Performance de la compañía,No,0.0,No tuve,2,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, estoy muy conforme.",,Technical Leader,12,3,2,2,"Amazon Web Services, Google Cloud Platform","CSS, HTML, Java, Javascript, SQL, TypeScript","Bootstrap, Node.js, React.js",Google Cloud Storage,"Jest, mabl",De 51 a 100 personas,Híbrido (presencial y remoto),0,No,,8,5,,Responder sobre guardias,Universitario,Incompleto,Diseño Multimedial,UADE - Universidad Argentina De la Empresa,Terminar encuesta,No,0.0,Bruto,32,Mujer Cis,Sí,True,Senior,12700000.0
2,Córdoba,Full-Time,Staff (planta permanente),3952805.0,3137662.0,Cobro parte del salario en dólares,985,No,No recibo bono,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Clases de idiomas",3,"No, pero escucho ofertas.",,Data Engineer,3,3,1,2,snowflake,SQL,Ninguno de los anteriores,snowflake,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,,0,2,,Terminar encuesta,,,,,,,,,29,Hombre Cis,Sí,True,Semi-Senior,3952805.0
3,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1606000.0,1360000.0,Cobro parte del salario en dólares,1004,No,No recibo bono,Más de tres,100.0,Septiembre,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,5,2,2,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, CSS, HTML, Javascript, PHP, Python",Ninguno de los anteriores,MariaDB,"PHPUnit, Selenium",De 1001 a 2000 personas,100% remoto,0,,,7,0,,Terminar encuesta,,,,,,,,,25,Hombre Cis,Sí,True,Semi-Senior,1606000.0
4,Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1325301.0,,Cobro parte del salario en dólares,,No,No recibo bono,Uno,25.0,Febrero,2,"Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,6,4,2,0,"Amazon Web Services, Azure, *BSD, Docker, Linux","Bash/Shell, Python",Ninguno de los anteriores,"ElasticSearch, Microsoft SQL Server, PostgreSQL, Redis",Postman,De 101 a 200 personas,100% remoto,0,No,Rooftop,7,3,,Responder sobre mis estudios,Secundario,Completo,Técnique Secundario en Programación,,Terminar encuesta,,,,22,Hombre Cis,Sí,True,Senior,1325301.0
5,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2670205.0,2167989.0,Cobro parte del salario en dólares,986,No,No recibo bono,Más de tres,50.0,Octubre,4,"Abono de celular, Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Technical Support,28,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),2,"Si la inflación era superior al 10% se aplicaba ese porcentaje en el mes. Si la inflacion del mes es inferior al 10%, se aumenta el porcentaje acumulado cada 3 meses.",Perficient,10,2,,Responder sobre guardias,Secundario,Completo,Tecnicatura Electrónica,,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,48,Hombre Cis,Sí,True,Senior,2670205.0
6,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,4000000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Consultant,25,3,3,5,"Amazon Web Services, Azure, Serverless",".NET, Python, SQL",".NET Core, WordPress","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,no,,9,5,,Responder sobre mis estudios,Maestría,Completo,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,No,0.0,Bruto,50,Hombre Cis,Sí,True,Senior,4000000.0
7,Córdoba,Full-Time,Staff (planta permanente),4200000.0,3600000.0,Cobro parte del salario en dólares,1070,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,1,"No, pero escucho ofertas.",,Manager / Director,15,1,0,12,"Amazon Web Services, Docker, Kubernetes, Linux, Microcontroladores","C++, Python","Django, TensorFlow",Influx,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,No,,2,2,,Responder sobre mis estudios,Universitario,Completo,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,43,Hombre Cis,Sí,True,Senior,4200000.0
8,Buenos Aires,Full-Time,Freelance,3000000.0,2000000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1150,No,No recibo bono,Más de tres,180.0,Noviembre,3,Ninguna de las anteriores,3,"Sí, estoy buscando activamente.",,Architect,18,8,6,0,"Linux, Windows Server, Mikrotik","HTML, PHP",WordPress,"MySQL, SQLite",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,Ajusto yo mi tarifa de hora por el IPC,Urbana IT,10,0,Puedo combinar los tiempos con mi familia.,Terminar encuesta,,,,,,,,,41,Hombre Cis,No,True,Senior,3000000.0
9,Buenos Aires,Full-Time,Staff (planta permanente),3953142.06,3258576.49,Mi sueldo está dolarizado (pero cobro en moneda local),,Un sueldo,Performance de la compañía,Más de tres,62.0,Noviembre,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Data Engineer,15,5,4,3,"Azure, Google Cloud Platform, Linux","Bash/Shell, Python, SQL",Ninguno de los anteriores,"MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,sube lo que sube el dolar oficial del MULC,NEWFOLD Digital,7,0,,Terminar encuesta,,,,,,,,,47,Hombre Cis,Sí,True,Senior,3953142.06
10,Santa Fe,Full-Time,Staff (planta permanente),3100000.0,,Cobro parte del salario en dólares,,No,No recibo bono,No,0.0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Stock options / RSUs",3,"No, estoy muy conforme.",,BI Analyst / Data Analyst,12,0,0,0,SAP,"ABAP, Python, SQL","SAP, SAP Hana, datasphere",HANA,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,,Globant,8,2,,Terminar encuesta,,,,,,,,,40,Hombre Cis,Sí,True,Senior,3100000.0
11,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1212500.0,2071375.0,Mi sueldo está dolarizado (pero cobro en moneda local),,No,Performance de la compañía,No,0.0,No tuve,2,Abono de Internet,2,"Sí, estoy buscando activamente.",,Designer,10,10,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),0,No,Aerolab,5,2,,Terminar encuesta,,,,,,,,,28,Hombre Cis,Sí,True,Senior,1212500.0
12,Buenos Aires,Full-Time,Staff (planta permanente),6360000.0,4780000.0,Cobro parte del salario en dólares,967,No,No recibo bono,Más de tres,180.0,Noviembre,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Manager / Director,18,8,2,20,"Amazon Web Services, Docker, Kubernetes","Javascript, TypeScript","Next.js, Node.js, React.js",MongoDB,Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),5,"Si, revisión y ajustes cada 4 meses aprox",,7,0,"Como Engineering Manager trabajo en el staff de los mejores equipos segun skills y projectos disponibles y deseos de carrera, superviso el delivery tecnico del equipo de desarrollo y su desarrollo de carrera.Genero iniciativas en la empresa y en el cliente, como por ejemplo trainings, nuevos negocios/proyectos, mejora de procesos, etc",Responder sobre guardias,Universitario,Completo,Ingeniería en Informática,,Terminar encuesta,"Sí, pasiva",1300000.0,Bruto,40,Hombre Cis,No,True,Senior,6360000.0
13,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3318356.0,2662651.0,Cobro parte del salario en dólares,1090,No,No recibo bono,Más de tres,77.0,Octubre,3,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Manager / Director,16,7,2,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,Por inflación,InvGate,7,3,,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,34,Hombre Cis,Sí,True,Senior,3318356.0
14,Córdoba,Full-Time,Contractor,1800000.0,,Mi sueldo está dolarizado (pero cobro en moneda local),1100,No,No recibo bono,No,0.0,No tuve,2,Capacitaciones y/o cursos,1,"No, pero escucho ofertas.",,Developer,15,5,5,0,"Azure, Docker",".NET, Bash/Shell, C#, Javascript, SQL, TypeScript",".NET Core, Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Redis","Postman, Xunit",De 51 a 100 personas,Híbrido (presencial y remoto),2,No,,0,5,,Terminar encuesta,,,,,,,,,53,Hombre Cis,Sí,True,Senior,1800000.0
15,Buenos Aires,Full-Time,Staff (planta permanente),3300000.0,,Cobro todo el salario en dólares,1080,Menos de un sueldo,Performance individual,No,0.0,No tuve,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Architect,18,9,10,2,"Azure, Docker, Linux, Windows Server",".NET, C#, CSS, Javascript, SQL, TypeScript",".NET Core, jQuery, Next.js, React.js","Microsoft SQL Server, PostgreSQL","Cypress, Jest, NUnit, Postman, Puppeteer",De 2 a 10 personas,100% presencial,0,no,,9,3,,Terminar encuesta,,,,,,,,,37,Hombre Cis,No,True,Senior,3300000.0
16,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2303066.0,1911545.0,Cobro parte del salario en dólares,990.14,No,No recibo bono,No,0.0,No tuve,1,"Abono de Internet, Capacitaciones y/o cursos",1,"No, pero escucho ofertas.",,Developer,10,1,1,2,"Amazon Web Services, Docker, Kubernetes","CSS, Java, SQL","Bootstrap, jQuery, Spring","Microsoft Azure (Tables, CosmosDB, SQL, etc), Oracle, Redis","JUnit, Postman",De 2001a 5000 personas,Híbrido (presencial y remoto),1,"No, se uso el cobro en dolares de ""ajuste""",GLobant,6,3,"Buen lugar para empezar, clientes variados. Poco ""soporte"" en caso de tener un problema.",Responder sobre guardias,Universitario,En curso,Derecho,UBA - Universidad de Buenos Aires,Terminar encuesta,No,0.0,Neto,35,Hombre Cis,Sí,True,Senior,2303066.0
18,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1392320.53,1255181.47,Cobro parte del salario en dólares,1023,Menos de un sueldo,Mix de las anteriores,Uno,30.0,Diciembre,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Sueldo dividido en dos pagos por mes",3,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,2,0,2,0,"Azure, Windows Server, ",Bash/Shell,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,Parte del sueldo es en comercio asique ajustaron x ese lado y otra parte ajusto la empresa,Accenture,8,2,,Responder sobre guardias,Universitario,En curso,Ingeniería en Sistemas,UCAECE - Centro de Altos Estudios en Ciencias Exactas,Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,28,Mujer Cis,No,True,Junior,1392320.53
19,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6226000.0,6026000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,21,1,1,0,"Amazon Web Services, Docker, Kubernetes, Linux",Python,Ninguno de los anteriores,"Amazon RDS/Aurora, ElasticSearch, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,no,Akamai,10,0,,Terminar encuesta,,,,,,,,,51,Hombre Cis,Sí,True,Senior,6226000.0
20,Buenos Aires,Full-Time,Staff (planta permanente),1772350.0,1564000.0,Cobro parte del salario en dólares,1032,No,No recibo bono,No,0.0,No tuve,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",2,"Sí, estoy buscando activamente.",,Developer,1,1,1,0,Ninguna de las anteriores,"HTML, Javascript, Python, TypeScript",React.js,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,,Globant,5,5,,Terminar encuesta,,,,,,,,,28,Hombre Cis,Sí,True,Junior,1772350.0
21,Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,7150000.0,6500000.0,Cobro todo el salario en dólares,1100,No,No recibo bono,No,0.0,No tuve,4,"Horarios flexibles, Sueldo dividido en dos pagos por mes",4,"Sí, estoy buscando activamente.",,Developer,16,5,5,0,"Amazon Web Services, Docker, Kubernetes, Linux","Java, SQL",Ninguno de los anteriores,"Amazon DynamoDB, ElasticSearch, PostgreSQL, Redis",Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,,Upwork,5,3,"Un desastre la organización y burocracia para todo, algo obsoletas las cosas que usan pero fuera de eso el ambiente es relativamente bueno dependiendo del área.",Responder sobre guardias,Universitario,Completo,Licenciatura en Ciencias de la Computación,UB - Universidad de Belgrano,Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,42,Hombre Cis,Sí,True,Senior,7150000.0
22,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,2500000.0,Mi sueldo está dolarizado (pero cobro en moneda local),,No,No recibo bono,Más de tres,12.0,Octubre,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Developer,19,1,1,0,"Azure, Docker, Linux, Windows Server",".NET, C#, HTML, Javascript, SQL",".NET Core, jQuery",Microsoft SQL Server,"Postman, Puppeteer, SoapUI, TFS, Visual Studio Coded UI",De 51 a 100 personas,100% remoto,0,,,10,2,,Responder sobre mis estudios,Universitario,Incompleto,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,Terminar encuesta,,,,43,Hombre Cis,Sí,True,Senior,3000000.0
23,Santa Fe,Full-Time,Staff (planta permanente),2000000.0,1500000.0,Cobro parte del salario en dólares,1020,Menos de un sueldo,Performance de la compañía,Más de tres,70.0,Octubre,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,20,16,16,0,"Azure, Linux, OpenStack, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),3,No,Neuralsoft,8,3,,Terminar encuesta,,,,,,,,,39,Hombre Cis,Sí,True,Senior,2000000.0
24,Buenos Aires,Full-Time,Staff (planta permanente),750000.0,605000.0,Cobro parte del salario en dólares,"1004,5",No,No recibo bono,Uno,3.8,Octubre,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1,"No, pero escucho ofertas.",,Data Engineer,0,0,0,0,"Amazon Web Services, Azure, Docker","Python, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc)","Postman, Visual Studio Coded UI",De 11  a 50  personas,100% remoto,0,Ajuste por inflación,,10,5,,Responder sobre mis estudios,Universitario,Completo,Ingeniería Química,UNS - Universidad Nacional del Sur,Terminar encuesta,,,,29,Mujer Cis,No,True,Junior,750000.0
25,Santa Fe,Full-Time,Contractor,3500000.0,3000000.0,Cobro todo el salario en dólares,,No,No recibo bono,Uno,10.0,Septiembre,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",2,"No, pero escucho ofertas.",,Technical Leader,10,4,2,4,"Amazon Web Services, Linux, Serverless","Javascript, PHP, Python, SQL, TypeScript","Laravel, Next.js, Node.js","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Después de pedir me aumentaron,,7,5,,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,36,Hombre Cis,Sí,True,Senior,3500000.0
26,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,536000.0,540000.0,Cobro todo el salario en dólares,1080,No,No recibo bono,Uno,40.0,Junio,2,Ninguna de las anteriores,1,"No, pero escucho ofertas.",,Developer,1,1,1,0,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Next.js, React.js",MySQL,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Solo porque estaba mi salario muy bajo,,8,4,,Terminar encuesta,,,,,,,,,27,Hombre Cis,No,True,Junior,536000.0
27,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7000000.0,5000000.0,Cobro parte del salario en dólares,1107.87,No,No recibo bono,Más de tres,100.0,Octubre,4,"Abono de Internet, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Developer,5,3,3,0,"Amazon Web Services, Docker","CSS, HTML, Java, Javascript, PHP, Scala, SQL, TypeScript","Akka, Laravel, Next.js, Node.js, React.js, Spring","MongoDB, MySQL, Redis, SQLite","Jest, PHPUnit",De 201 a 500 personas,100% remoto,0,Inflación y porcentaje en dólares,,10,5,,Responder sobre guardias,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,Terminar encuesta,"Sí, activa",0.0,Porcentaje de mi sueldo bruto,23,Hombre Cis,Sí,True,Semi-Senior,7000000.0
28,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3354178.0,2698055.0,Cobro parte del salario en dólares,1032,De uno a tres sueldos,Mix de las anteriores,Más de tres,150.0,Octubre,3,"Descuento en gimnasios / Clases de gimnasia online, Cuota para universidad / posgrados, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",3,"No, estoy muy conforme.",,BI Analyst / Data Analyst,5,2,5,0,"Amazon Web Services, Google Cloud Platform, Linux, Windows Server","Go, Java, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Google Cloud Storage, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),2,Desempeño e inflación,Ualá,7,3,,Terminar encuesta,,,,,,,,,27,Hombre Cis,Sí,True,Semi-Senior,3354178.0
29,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,921050.0,926500.0,Cobro todo el salario en dólares,,No,No recibo bono,Uno,12.5,Agosto,1,"Capacitaciones y/o cursos, Horarios flexibles",2,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,1,1,1,0,"Docker, Linux, MariaDb, Elasticsearch, Kibana, MikrotikOs, JunOs, Postman, Jira","Bash/Shell, HTML, Javascript, Perl, PHP, SQL",Ninguno de los anteriores,"ElasticSearch, MariaDB, MySQL","Postman, Selenium",De 11  a 50  personas,Híbrido (presencial y remoto),1,No,,7,3,,Responder sobre mis estudios,Universitario,Incompleto,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,23,Hombre Cis,No,True,Junior,921050.0
30,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1084000.0,900000.0,Mi sueldo está dolarizado (pero cobro en moneda local),973.67,No,No recibo bono,Tres,15.0,Noviembre,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Developer,2,2,2,0,"Amazon Web Services, Docker, Firebase","CSS, HTML, Javascript, Ruby, SQL, TypeScript","Rails, React.js",PostgreSQL,"Jest, Postman, RSpec",De 51 a 100 personas,Híbrido (presencial y remoto),1,,,9,0,,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,Responder sobre guardias,No,0.0,Bruto,26,No binarie,Sí,True,Junior,1084000.0
31,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,885700.0,,Cobro todo el salario en dólares,1100,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",,UX Designer,4,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,,3,0,,Responder sobre mis estudios,Posgrado/Especialización,Completo,Diseño Gráfico,,Terminar encuesta,,,,25,Mujer Cis,No,True,Semi-Senior,885700.0
32,Córdoba,Full-Time,Contractor,900000.0,820000.0,Cobro todo el salario en dólares,1100,No,No recibo bono,No,0.0,No tuve,2,Horarios flexibles,2,"No, pero escucho ofertas.",,Technical Leader,4,4,1,1,"Amazon Web Services, Docker, Google Cloud Platform","Java, Javascript, Python, SQL, TypeScript","Angular, Bootstrap, jQuery, Spring","MongoDB, MySQL",Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),5,No,,7,2,,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Administración de Empresas,Universidad Siglo 21,Terminar encuesta,,,,28,Hombre Cis,No,True,Semi-Senior,900000.0
33,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,1800000.0,Cobro parte del salario en dólares,1100,No,No recibo bono,Tres,30.0,Octubre,1,"Abono de Internet, Clases de idiomas",1,"Sí, estoy buscando activamente.",,Developer,4,4,4,0,"Docker, Linux","CSS, Go, HTML, Java, Javascript, SQL, TypeScript","Angular, Bootstrap, Spring","Amazon DynamoDB, MongoDB, PostgreSQL, Redis","JUnit, Postman",De 201 a 500 personas,Híbrido (presencial y remoto),1,Ajuste basado en ipc cada 3/4 meses,Finnegans,3,2,,Terminar encuesta,,,,,,,,,26,Hombre Cis,No,True,Semi-Senior,2200000.0
34,Buenos Aires,Full-Time,Contractor,3850000.0,3200000.0,Cobro todo el salario en dólares,1.1,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,BI Analyst / Data Analyst,7,1,3,2,Amazon Web Services,"Java, SQL",React.js,"MongoDB, MySQL",Selenium,De 101 a 200 personas,100% remoto,0,no,Monnet,7,3,,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,,Terminar encuesta,,,,34,Mujer Cis,Sí,True,Senior,3850000.0
35,Córdoba,Full-Time,Contractor,6000000.0,6000000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,3,"Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",,Developer,10,1,5,0,Firebase,Dart,Flutter,MySQL,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,No,Sytex,6,5,-,Terminar encuesta,,,,,,,,,40,Hombre Cis,No,True,Senior,6000000.0
36,Buenos Aires,Full-Time,Contractor,3400000.0,3000000.0,Cobro todo el salario en dólares,1100,No,No recibo bono,Dos,20.0,Agosto,1,Ninguna de las anteriores,3,"Sí, estoy buscando activamente.",,Developer,6,2,2,0,"Azure, Windows Server",".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Angular","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server","NUnit, Postman, Xunit",De 11  a 50  personas,100% remoto,0,Si. Tuve un aumento de un 10% en los últimos 6 meses.,Surtech holdings,8,4,,Terminar encuesta,,,,,,,,,30,Hombre Cis,Sí,True,Senior,3400000.0
