Unnamed: 0,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,estas_buscando_trabajo,pluriempleo,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,opcionalen_que_empresaorganizacion_estas_trabajando,company_recommended,tools_copilotchatgpt,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,profile_age,profile_gender,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,sueldo_dolarizado,seniority,_sal
5083,Córdoba,Full-Time,Staff (planta permanente),1771136.0,1488846.0,,,No,No recibo bono,Tres,0.0,Octubre,2,Comidas pagas / subvencionadas,2,"No, pero escucho ofertas.",,HelpDesk,17,1,1,0,"Linux, VMWare, Windows Server",SQL,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 51 a 100 personas,100% presencial,0,IPC cada tres meses,TAPI S.A,6,2,,Responder sobre mis estudios,Terciario,Completo,Analista de Sistemas,ORT,Terminar encuesta,,,,40,Hombre Cis,Sí,False,Senior,1771136.0
5084,Río Negro,Full-Time,Staff (planta permanente),1680000.0,1360000.0,,,Menos de un sueldo,Performance de la compañía,Dos,73.0,Diciembre,1,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",1,"No, pero escucho ofertas.",,Manager / Director,20,11,6,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,100% presencial,0,Empleado estatal,CNEA,7,4,,Terminar encuesta,,,,,,,,,47,Hombre Cis,Sí,False,Senior,1680000.0
5085,Santa Fe,Full-Time,Staff (planta permanente),1050000.0,900000.0,,,No,No recibo bono,Más de tres,30.0,Octubre,1,Abono de Internet,1,"Sí, estoy buscando activamente.",Tengo dos trabajos full time,Developer,3,1,1,0,"Azure, Serverless",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,"el unico ajuste es por inflacion, a mi parecer el sueldo esta retrasado",PWC,3,4,,Terminar encuesta,,,,,,,,,27,Hombre Cis,No,False,Semi-Senior,1050000.0
5086,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,1800000.0,,,Menos de un sueldo,Performance individual,Tres,28.0,Enero,3,"Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Developer,4,0,4,0,"Azure, Docker, Linux","CSS, Javascript, TypeScript","React.js, ARCxp",MySQL,Jest,De 101 a 200 personas,Híbrido (presencial y remoto),1,,La Nacion,8,4,,Terminar encuesta,,,,,,,,,31,Mujer Cis,Sí,False,Semi-Senior,2300000.0
5087,Santa Fe,Full-Time,Staff (planta permanente),1392819.0,930000.0,,,No,No recibo bono,Más de tres,25.0,Noviembre,2,Clases de idiomas,2,"No, pero escucho ofertas.",,Game designer,2,13,2,0,"Docker, Linux","Python, SQL",Pentaho,"MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% presencial,0,Aumentos por política paritaria,Municipalidad de la Ciudad de Santa Fe,8,1,,Responder sobre mis estudios,Terciario,Completo,Profesorado General,,Terminar encuesta,,,,36,Hombre Cis,No,False,Junior,1392819.0
5088,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,1090000.0,,,No,No recibo bono,Dos,5.0,Octubre,1,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",1,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,3,0,3,0,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless, VMWare, Windows Server","Javascript, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MariaDB, MongoDB, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,No tengo idea hay poca transparenciae n este aspecto. Sistemas es un entorno muy aislado del resto de la compañía.,,0,0,Abstención de comentarios,Terminar encuesta,,,,,,,,,27,Mujer Cis,No,False,Semi-Senior,1300000.0
5089,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1503872.8,1268215.0,,,No,No recibo bono,Tres,50.0,Enero,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles",2,"No, pero escucho ofertas.",,Developer,5,5,4,0,"Docker, Linux, VMWare","Javascript, Rust, Solidity","Next.js, Node.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,,,7,2,,Terminar encuesta,,,,,,,,,32,Hombre Cis,No,False,Semi-Senior,1503872.8
5090,Córdoba,Full-Time,Staff (planta permanente),8300000.0,6068000.0,,,Un sueldo,Mix de las anteriores,Dos,21.0,Octubre,3,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Estacionamiento gratuito / subvencionado, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,Manager / Director,24,3,3,29,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless","Go, Java, Javascript, Python","Bootstrap, Flutter, Hibernate, Spring","Amazon DynamoDB, Amazon Redshift, MySQL, Redis",Xunit,Más de 10000 personas,Híbrido (presencial y remoto),1,Ajustes por inflación,Mercado Libre,9,0,,Terminar encuesta,,,,,,,,,48,Hombre Cis,Sí,False,Senior,8300000.0
5091,Catamarca,Full-Time,Staff (planta permanente),1552000.0,1288529.0,,,No,No recibo bono,Tres,15.0,Enero,2,"Abono de Internet, Capacitaciones y/o cursos",2,"No, pero escucho ofertas.",,HelpDesk,3,1,1,2,Azure,".NET, C#, SQL",.NET Core,"ElasticSearch, Microsoft SQL Server",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,SG Fintech,0,1,,Responder sobre mis estudios,Terciario,Incompleto,Analista de Sistemas,ISSD - Instituto Superior Santo Domingo,Responder sobre guardias,No,0.0,Neto,34,Hombre Cis,Sí,False,Semi-Senior,1552000.0
5092,Mendoza,Full-Time,Staff (planta permanente),2640000.0,2200000.0,,,No,No recibo bono,Más de tres,121.0,Diciembre,4,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,3,3,1,12,"Amazon Web Services, Azure, *BSD, Google Cloud Platform, Linux, VMWare, Windows Server","Bash/Shell, Python, SQL","WordPress, Ninguno de los anteriores","MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),1,"Si, cada 2 meses acorde a la inflacion",Possumus Tech,10,5,Estoy muy comodo,Terminar encuesta,,,,,,,,,38,Hombre Cis,Sí,False,Semi-Senior,2640000.0
