work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,¿En qué mes fue el último ajuste?,salary_comparison_last_semester,¿Contás con beneficios adicionales?,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,profile_studies_level,profile_studies_level_state,profile_career,Institución educativa,¿Salir o seguir contestando sobre las guardias?,work_on_call_duty,salary_on_call_duty_charge,Aclará el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios?,profile_age,profile_gender
Argentina,Chaco,Full-Time,Contractor,300000.0,298000.0,,,No,No recibo bono,Dos,50.0,Mayo,3,"Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",2,Developer,6.0,2.0,2.0,0,"Amazon Web Services, Docker","Bash/Shell, Javascript, PHP, SQL, TypeScript","Laravel, Node.js","MariaDB, MySQL, PostgreSQL",Postman,De 51 a 100 personas,100% remoto,0,8,2,Responder sobre mis estudios,Terciario,En curso,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,30,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),875000.0,600000.0,,,No,No recibo bono,Dos,20.0,Junio,2,Horarios flexibles,2,SysAdmin,14.0,13.0,5.0,8,"Amazon Web Services, Docker, Kubernetes, Linux, VMWare, Windows Server","Java, PHP, Python, SQL","Django, Symfony","MariaDB, Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),5,5,0,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,43,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),197161.41,181441.8,,,No,No recibo bono,Dos,67.0,Abril,2,"Capacitaciones y/o cursos, Horarios flexibles",2,Developer,1.5,1.5,1.5,0,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Linux","CSS, HTML, Javascript, Python","Bootstrap, Flask, jQuery","Amazon DynamoDB, ElasticSearch, Google Cloud Storage, Firestore",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,7,2,Responder sobre mis estudios,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UNC - Universidad Nacional de Córdoba,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,24,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),410000.0,360000.0,,,No,No recibo bono,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Designer,15.0,12.0,12.0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% presencial,0,3,2,Terminar encuesta,,,,,,,,,,38,Mujer Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),500000.0,365000.0,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,50.0,Abril,2,Capacitaciones y/o cursos,2,Manager / Director,30.0,19.0,19.0,13,"Azure, SAP, Windows Server","Python, SQL, VBA",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),3,8,2,Terminar encuesta,,,,,,,,,,65,Hombre
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),290000.0,250000.0,,,No,No recibo bono,Dos,30.0,Mayo,1,Ninguna de las anteriores,1,BI Analyst / Data Analyst,7.0,1.0,1.0,0,"Azure, Windows Server","Python, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Oracle",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,5,2,Responder sobre mis estudios,Posgrado/Especialización,En curso,Ingeniería en Informática,,Responder sobre guardias,No,0.0,Neto,Terminar encuesta,41,Varón Cis
Argentina,Chaco,Part-Time,Tercerizado (trabajo a través de consultora o agencia),260000.0,212000.0,,,No,No recibo bono,Dos,8.0,Mayo,2,Horarios flexibles,2,BI Analyst / Data Analyst,12.0,5.0,4.0,1,"Mainframe, Windows Server","Java, SQL",Ninguno de los anteriores,"IBM Db2, Microsoft SQL Server",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,5,0,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,36,Mujer Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),207000.0,275000.0,,,No,No recibo bonos,No,0.0,No tuve,1,Ninguna de las anteriores,2,Soporte e implementaciones,17.0,1.0,10.0,0,"Linux, VMWare, Windows Server","HTML, PHP, SQL","Spark, WordPress","Microsoft SQL Server, MySQL, Sybase",Ninguna de las anteriores,De 51 a 100 personas,100% presencial,0,2,3,Terminar encuesta,,,,,,,,,,39,Varón Cis
Argentina,Chaco,Full-Time,Contractor,1932000.0,1854720.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,4,"Horarios flexibles, Sueldo dividido en dos pagos por mes",4,Developer,2.0,0.0,0.0,0,"Amazon Web Services, Docker","Python, TypeScript",Django,PostgreSQL,Postman,1 (solamente yo),100% remoto,0,10,4,Responder sobre mis estudios,Universitario,Incompleto,Carrera de grado en matemática computacional,,Terminar encuesta,,,,,25,Mujer Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),230000.0,1900000.0,,,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",3,Data Engineer,1.0,0.0,0.0,0,"Google Cloud Platform, SAP",Python,Apache BEAM,"Google Cloud Storage, Sybase, Big Query",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,10,3,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,21,Prefiero no decir
