work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,¿En qué mes fue el último ajuste?,salary_comparison_last_semester,¿Contás con beneficios adicionales?,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,profile_studies_level,profile_studies_level_state,profile_career,Institución educativa,¿Salir o seguir contestando sobre las guardias?,work_on_call_duty,salary_on_call_duty_charge,Aclará el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios?,profile_age,profile_gender
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),624000.0,432000.0,,,No,No recibo bono,Dos,35.0,Mayo,1,Vacaciones flexibles (adicionales a las reglamentarias),2,FinOps Analyst,2.0,3.0,2.0,0,"AIX, Amazon Web Services, Azure, Google Cloud Platform, Linux, SAP, Windows Server","ABAP, Python, SQL","SAP, TensorFlow","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, HANA, Microsoft SQL Server, Oracle, Sybase",Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,0,3,Terminar encuesta,,,,,,,,,,38,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),960000.0,640000.0,,,No,No recibo bono,No,0.0,No tuve,1,"Capacitaciones y/o cursos, Clases de idiomas",2,Especialista Cloud,3.0,0.0,0.0,0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, SQL",Ninguno de los anteriores,"Amazon DynamoDB, ElasticSearch, MySQL, PostgreSQL",Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),1,7,0,Terminar encuesta,,,,,,,,,,41,Bigénero
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),320000.0,260000.0,,,No,No recibo bono,Uno,20.0,Marzo,1,Ninguna de las anteriores,1,Developer,3.0,1.0,1.0,0,"Amazon Web Services, Docker, Firebase, Linux","CSS, HTML, Javascript, Kotlin, PHP, SQL, TypeScript","Bootstrap, Laravel, Node.js, React.js, React native","MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,5,5,Terminar encuesta,,,,,,,,,,32,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),200000.0,300000.0,,,No,No recibo bono,Dos,6.0,Junio,2,Ninguna de las anteriores,2,QA / Tester,3.0,13.0,3.0,0,Ninguna de las anteriores,Javascript,Ninguno de los anteriores,Microsoft SQL Server,Postman,De 51 a 100 personas,100% remoto,0,6,0,Responder sobre guardias,Terciario,Incompleto,Tecnicatura en Sistemas,UBA - Universidad de Buenos Aires,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,37,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),596000.0,435000.0,,,Menos de un sueldo,Performance individual,Uno,120.0,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Estacionamiento gratuito / subvencionado, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Sueldo dividido en dos pagos por mes",2,Rpa,5.0,5.0,2.0,0,"Mainframe, SAP, Blue prism","CSS, HTML, Java, Javascript, Python, SQL, VBA",Ninguno de los anteriores,"Microsoft SQL Server, Teradata",Postman,Más de 10000 personas,100% remoto,0,7,1,Terminar encuesta,,,,,,,,,,30,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3500000.0,3300000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,4,Horarios flexibles,4,Manager / Director,3.0,1.0,0.0,7,"Amazon Web Services, Docker, Serverless","Javascript, Python, SQL, TypeScript",Node.js,"Microsoft SQL Server, MongoDB",Postman,De 101 a 200 personas,100% remoto,0,10,3,Terminar encuesta,,,,,,,,,,31,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),770000.0,625000.0,,,Un sueldo,Performance de la compañía,Dos,41.0,Mayo,2,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,SysAdmin,9.0,2.0,0.0,0,"Amazon Web Services, Azure, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,8,4,Terminar encuesta,,,,,,,,,,37,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),545157.0,452480.0,Cobro parte del salario en dólares,"249,50",No,No recibo bono,Más de tres,45.0,Junio,2,Abono de Internet,2,Developer,4.0,1.0,1.0,0,Docker,"Javascript, TypeScript","Node.js, React.js",Ninguna de las anteriores,"Cypress, Jest",De 1001 a 2000 personas,100% remoto,0,7,3,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Psicología,UBA - Universidad de Buenos Aires,Terminar encuesta,,,,,30,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1143037.0,772198.0,,,De uno a tres sueldos,Mix de las anteriores,Tres,48.0,Mayo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,Architect,23.0,8.0,1.0,3,"Amazon Web Services, Azure, IBM Cloud / Watson, Kubernetes, OpenShift",SQL,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Teradata",Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,9,3,Responder sobre mis estudios,Universitario,Incompleto,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,46,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,80000.0,80000.0,,,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,1,HelpDesk,22.0,22.0,22.0,0,"VMWare, Soporte Windows y Google Workspace ",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,1 (solamente yo),Híbrido (presencial y remoto),0,0,0,Terminar encuesta,,,,,,,,,,41,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),680000.0,550000.0,,,No,No recibo bono,Uno,35.0,Abril,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,Project Manager,17.0,2.0,2.0,2,"Amazon Web Services, Linux","CSS, HTML, Javascript, PHP, SQL","jQuery, Laravel","Amazon RDS/Aurora, Microsoft SQL Server, MySQL, Redis","PHPUnit, Postman",De 51 a 100 personas,Híbrido (presencial y remoto),4,8,1,Terminar encuesta,,,,,,,,,,38,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5250000.0,3150000.0,Cobro todo el salario en dólares,500,De uno a tres sueldos,Performance de la compañía,Uno,5.0,Junio,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,Manager / Director,16.0,6.0,2.0,46,"Amazon Web Services, Docker, Google Cloud Platform, IBM Cloud / Watson, Kubernetes, Oracle Cloud",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,7,1,Responder sobre guardias,Universitario,Incompleto,Ingeniería en Informática,,Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,38,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),750000.0,528000.0,,,3+ sueldos,Mix de las anteriores,Uno,28.0,Mayo,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Trabajo remoto",3,Finance,25.0,0.0,0.0,2,"Google Cloud Platform, Power BI, otros ERPs","SQL, VBA",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,8,3,Responder sobre mis estudios,Maestría,Completo,Licenciatura en Economía y Finanzas,UADE - Universidad Argentina De la Empresa,Terminar encuesta,,,,,45,Mujer Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),650000.0,580000.0,,,Un sueldo,Mix de las anteriores,Más de tres,66.0,Julio,3,Abono de Internet,3,Developer,3.0,1.0,1.0,0,"Azure, Firebase","Javascript, TypeScript","Node.js, React.js",Ninguna de las anteriores,"Jest, Postman",De 101 a 200 personas,100% remoto,0,7,0,Terminar encuesta,,,,,,,,,,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000.0,525000.0,,,3+ sueldos,Performance de la compañía,Dos,50.0,Julio,4,"Abono de Internet, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Guardería o pago para cubrir costo de guardería",2,Technical Leader,10.0,2.0,2.0,2,"Docker, Kubernetes, Linux, OpenShift","Go, Java, Python",Flask,PostgreSQL,"JUnit, Postman",De 5001 a 10000 personas,100% remoto,0,5,3,Terminar encuesta,,,,,,,,,,32,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),614000.0,430000.0,,,Un sueldo,Performance individual,Dos,40.0,Mayo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,4.0,0.0,0.0,0,"Docker, Kubernetes","Go, Java, Kotlin","Gin, fiber","MongoDB, Redis","JUnit, Go tests ",De 201 a 500 personas,100% remoto,0,10,4,Terminar encuesta,,,,,,,,,,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,816000.0,757440.0,Cobro todo el salario en dólares,,Un sueldo,tiempo,Uno,17.0,Marzo,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas",3,Recruiter / HR,13.0,2.0,2.0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,7,0,Terminar encuesta,,,,,,,,,,40,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),800000.0,800000.0,Mi sueldo está dolarizado (pero cobro en moneda local),Mep,No,No recibo bono,Más de tres,100.0,Julio,3,Capacitaciones y/o cursos,3,SRE (Site Reliability Engineer),6.0,0.0,6.0,0,"*BSD, Google Cloud Platform, Linux",Python,Cbsd,"ElasticSearch, PostgreSQL",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,7,2,Terminar encuesta,,,,,,,,,,33,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),740000.0,520000.0,,,De uno a tres sueldos,Performance de la compañía,Dos,43.0,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,Technical Leader,2.0,1.5,2.0,8,"Amazon Web Services, Linux","Bash/Shell, HTML, PHP, SQL","jQuery, Laravel, Vue.js, Ninguno de los anteriores","MySQL, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,9,0,Terminar encuesta,,,,,,,,,,38,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),460000.0,406000.0,,,De uno a tres sueldos,Performance individual,Tres,100.0,Mayo,3,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,3.5,1.5,3.5,0,Linux,"PHP, Python, SQL","Laravel, Slim","MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,9,3,Terminar encuesta,,,,,,,,,,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),717000.0,490000.0,,,No,No recibo bono,Dos,25.0,Abril,2,"Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,DevOps Engineer,12.0,12.0,4.0,1,"Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, OpenShift, OpenStack, VMWare","CSS, HTML, Javascript, Python","Bootstrap, Flask, React.js","MongoDB, MySQL, Oracle, ProxySQL, Redis",Cypress,De 201 a 500 personas,100% remoto,0,7,2,Terminar encuesta,,,,,,,,,,32,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),460000.0,366000.0,,,De uno a tres sueldos,Performance individual,Tres,30.0,Mayo,3,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",3,SysAdmin,1.0,3.0,1.0,1,"Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),4,7,1,Responder sobre guardias,Universitario,Incompleto,Analista de Sistemas,UAI - Universidad Abierta Interamericana,Terminar encuesta,"Sí, pasiva",0.0,Neto,Responder sobre mis estudios,41,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000.0,475000.0,,,No,No recibo bono,Dos,32.0,Abril,3,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Product Manager,5.0,1.0,1.0,2,"Amazon Web Services, Google Cloud Platform","CSS, HTML, Javascript","Node.js, React.js, WordPress",Google Cloud Storage,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,8,0,Responder sobre guardias,Universitario,En curso,Licenciatura en Administración,,Terminar encuesta,"Sí, pasiva",7500.0,Neto,Responder sobre mis estudios,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),386000.0,800000.0,,,Menos de un sueldo,Performance de la compañía,Dos,30.0,Marzo,3,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Estacionamiento gratuito / subvencionado, Horarios flexibles",3,Analista i+d,13.0,0.0,0.0,0,"Amazon Web Services, Arduino o similar, Docker, Firebase, Google Cloud Platform, Microcontroladores, OpenShift, Serverless, VMWare","Arduino, C, Javascript, Python, Solidity, SQL, TypeScript","Angular, Bootstrap, Hibernate, Next.js, Node.js, React.js, Spring","Amazon DynamoDB, Amazon RDS/Aurora, MySQL","JUnit, Postman",De 11  a 50  personas,Híbrido (presencial y remoto),1,8,5,Responder sobre mis estudios,Universitario,Completo,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,32,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),889970.0,633669.0,,,De uno a tres sueldos,Mix de las anteriores,Dos,34.0,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Project Manager,7.0,2.0,2.0,0,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),2,7,4,Terminar encuesta,,,,,,,,,,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),483000.0,403000.0,,,Menos de un sueldo,Mix de las anteriores,Más de tres,31.0,Mayo,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas",3,Developer,3.0,2.0,3.0,0,"Azure, Docker, OpenShift",".NET, C#, Javascript, SQL",".NET Core, React.js","Microsoft SQL Server, Redis",Xunit,De 2001a 5000 personas,100% remoto,0,0,2,Terminar encuesta,,,,,,,,,,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),730000.0,470000.0,,,Un sueldo,Performance grupal,Uno,70.0,Febrero,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,Developer,2.0,1.0,2.0,0,Ninguna de las anteriores,"Go, Kotlin, SQL",Ninguno de los anteriores,MySQL,Postman,Más de 10000 personas,100% remoto,0,9,0,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,Responder sobre guardias,"Sí, pasiva",0.0,Bruto,Terminar encuesta,25,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5800.0,5800.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,Developer,3.5,0.0,3.5,0,Azure,"Javascript, PHP, TypeScript","Vue.js, CakePHP","ElasticSearch, MySQL",PHPUnit,De 2 a 10 personas,100% remoto,0,8,3,Terminar encuesta,,,,,,,,,,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),800000.0,550000.0,Cobro parte del salario en dólares,,Un sueldo,Performance de la compañía,Dos,43.0,Abril,2,"Abono de Internet, Clases de idiomas, Horarios flexibles",2,Developer,5.0,4.0,4.0,0,"Docker, Linux","Java, Python, SQL",Spring,"MongoDB, PostgreSQL, Redis",JUnit,De 11  a 50  personas,100% remoto,0,6,0,Responder sobre guardias,Universitario,Completo,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,26,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000.0,680000.0,,,Un sueldo,Performance de la compañía,Uno,25.0,Marzo,2,"Abono de celular, Abono de Internet",1,Developer,13.0,10.0,9.0,2,SAP,ABAP,SAP,HANA,SoapUI,De 2001a 5000 personas,100% remoto,0,7,0,Terminar encuesta,,,,,,,,,,39,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000.0,550000.0,,,De uno a tres sueldos,Performance grupal,Dos,40.0,Junio,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",3,QA / Tester,5.0,1.0,1.0,1,"Docker, Kubernetes",Java,Bootstrap,MongoDB,"JUnit, Postman, SoapUI, TestNG",De 101 a 200 personas,100% remoto,0,7,3,Responder sobre mis estudios,Terciario,En curso,Analista de Sistemas,ORT,Terminar encuesta,,,,,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),700000.0,510000.0,,,No,No recibo bono,Dos,28.0,Junio,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,4.0,2.0,4.0,0,Xcode,Swift,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,9,2,Terminar encuesta,,,,,,,,,,28,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),380000.0,180000.0,Cobro parte del salario en dólares,240,De uno a tres sueldos,Performance individual,Más de tres,50.0,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Horarios flexibles",4,QA / Tester,6.0,2.0,1.0,3,"Amazon Web Services, Google Cloud Platform, SAP","HTML, Javascript",React.js,MySQL,Postman,Más de 10000 personas,100% remoto,0,10,1,Terminar encuesta,,,,,,,,,,37,Mujer Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400.0,360.0,,,Un sueldo,Mix de las anteriores,Más de tres,66.0,Mayo,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Estacionamiento gratuito / subvencionado",4,Developer,1.0,0.0,0.0,0,"Firebase, Linux","CSS, HTML, Javascript",Vue.js,MongoDB,"Jest, JUnit, Postman",De 2001a 5000 personas,Híbrido (presencial y remoto),1,9,2,Responder sobre mis estudios,Secundario,Completo,Ingeniería en Informática,,Terminar encuesta,,,,,22,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),360000.0,275000.0,,,No,No recibo bono,Tres,24.0,Mayo,3,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Lactario en la oficina, Viáticos",4,HelpDesk,4.0,2.0,2.0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,100% presencial,0,9,0,Responder sobre guardias,Terciario,En curso,Tecnicatura Universitaria en Ciencias Empresariales,UNQ - Universidad Nacional de Quilmes,Terminar encuesta,No,0.0,Neto,Responder sobre mis estudios,28,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),880000.0,423000.0,,,3+ sueldos,Performance de la compañía,Uno,21.0,Abril,3,"Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",3,Technical Leader,6.0,0.0,0.0,7,"Docker, Google Cloud Platform, Kubernetes, Linux","CSS, HTML, Javascript, Python, SQL, TypeScript","Django, Vue.js","Google Cloud Storage, PostgreSQL, Redis","Cypress, Jest, Postman",De 101 a 200 personas,100% remoto,0,7,4,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Telecomunicaciones,,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,37,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),752000.0,559000.0,,,Un sueldo,Mix de las anteriores,Más de tres,45.0,Mayo,2,"Abono de Internet, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,Architect,6.0,1.0,1.0,0,"Amazon Web Services, Docker, Linux, Solaris, Serverless, VMWare, Windows Server","Bash/Shell, SQL, Yaml",Ninguno de los anteriores,"Oracle, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),1,7,2,Terminar encuesta,,,,,,,,,,26,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,735000.0,665000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida",3,DevOps Engineer,2.0,2.0,2.0,0,"Docker, Google Cloud Platform, Kubernetes, Linux, Serverless","Bash/Shell, Go, Javascript, Python, SQL, TypeScript","Django, Next.js, Node.js, React.js, WordPress","Google Cloud Storage, MariaDB, MongoDB, MySQL, PostgreSQL, SQLite",Jest,De 101 a 200 personas,100% remoto,0,8,1,Responder sobre mis estudios,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Terminar encuesta,"Sí, pasiva",0.0,Bruto,Responder sobre mis estudios,23,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),950000.0,650000.0,,,Menos de un sueldo,Performance de la compañía,Tres,37.0,Mayo,1,"Abono de celular, seguro auto",3,Project Manager,20.0,20.0,5.0,16,Firebase,SQL,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),4,0,0,Terminar encuesta,,,,,,,,,,50,Mujer Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),914000.0,687000.0,,,De uno a tres sueldos,Mix de las anteriores,Uno,18.8,Marzo,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Technical Leader,6.0,3.0,3.0,9,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, SAP, Serverless, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"HANA, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),1,0,0,Terminar encuesta,,,,,,,,,,34,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),347000.0,293000.0,,,No,No recibo bono,Uno,25.0,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,DevOps Engineer,0.0,2.0,0.0,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux",Bash/Shell,Ninguno de los anteriores,"MariaDB, PostgreSQL, Redis",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,9,4,Responder sobre mis estudios,Terciario,En curso,tecnicatura en soporte a infraestructuras,ISTEA - Instituto Superior Tecnológico Empresarial Argentino,Terminar encuesta,,,,,28,Varón Cis
