work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,work_looking_for_job,profile_various_jobs,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,salary_inflation_policy,company_reduction_of_employees,company_recommended,tools_copilotchatgpt,vibe_coding,tools_ide_ia,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,company_max_interview,company_best_interview,profile_prefered_challenges,profile_hours_per_day,company_selection_process,salir_o_seguir_contestando_sobre_las_guardias1,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,profile_age,profile_gender,profile_previous_survey,company_best_companies,sueldo_dolarizado,work_seniority,_sal
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000.0,1400000.0,Cobro parte del salario en dólares,,De uno a tres sueldos,Performance individual,Dos,10.0,Octubre,3,Vacaciones flexibles (adicionales a las reglamentarias),2,"No, pero escucho ofertas.",,Technical Leader,15,5,3,3,"Azure, Docker, Kubernetes, Linux, OpenShift, VMWare, Windows Server","Bash/Shell, HTML, Javascript, PHP, Python, SQL, TypeScript",".NET Core, Angular, Flask, Node.js, React.js, WordPress","Amazon RDS/Aurora, MariaDB, Microsoft SQL Server, MySQL, PostgreSQL","Postman, Xunit",De 2 a 10 personas,100% remoto,0,No,No,10,3,Llegó para quedarse,"Visual Code, Cursor",,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Responder sobre guardias,,,,,,,No,0.0,Neto,Terminar encuesta,37,Hombre Cis,Sí,,True,Senior,1700000.0
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3427000.0,3358360.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,3,"Descuentos varios (Clarín 365, Club La Nación, etc)",4,"No, estoy muy conforme.",,Developer,4,0,0,0,Ninguna de las anteriores,"CSS, HTML, TypeScript","Next.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,No sé,8,2,Hype,Zed,,Responder sobre entrevistas técnicas,,,,,,Entre 2 y 4,"Técnica - Coding, Técnica - Diseño & Arquitectura",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Hasta 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,,,,,29,Hombre Cis,Sí,,True,Semi-Senior,3427000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6000000.0,4500000.0,Cobro parte del salario en dólares,1500,De uno a tres sueldos,Performance de la compañía,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",3,"No, estoy muy conforme.",,Developer,20,15,3,0,Linux,"Java, Scala","Akka, Hibernate, Spring",MariaDB,JUnit,De 2001a 5000 personas,100% remoto,0,,No,8,4,Hype,si,,Responder sobre guardias,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Entre 2 y 4,Técnica - Diseño & Arquitectura,Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Hasta 4 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,50,Hombre Cis,Sí,"despegar, mercado libre, medalia",True,Senior,6000000.0
San Juan,Full-Time,Staff (planta permanente),2510000.0,2088400.0,Cobro parte del salario en dólares,1445,No,No recibo bono,Dos,8.0,Octubre,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Guardería o pago para cubrir costo de guardería",3,"No, pero escucho ofertas.",,Developer,12,3,3,0,"Azure, Docker, Kubernetes","Groovy, Java, Kotlin",Spring,"Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis","Postman, SoapUI, Splunk-Groove",De 501 a 1000 personas,100% remoto,0,Ajuste por inflación,No,8,2,Llegó para quedarse,,Debería dar más capacitación sobre IA orientado a lo que nos autorizan utilizar en el cliente,Terminar encuesta,,,,,,,,,,,,,,,,42,Hombre Cis,Sí,,True,Senior,2510000.0
Buenos Aires,Full-Time,Contractor,685830.0,619305.0,Cobro todo el salario en dólares,1503.14,No,No recibo bono,No,0.0,No tuve,1,Horarios flexibles,1,"No, pero escucho ofertas.",,Developer,2,2,2,0,"Amazon Web Services, Docker, Linux","Java, Javascript, TypeScript","Hibernate, React.js, Spring","MySQL, Redis",JUnit,De 51 a 100 personas,100% remoto,0,,No,6,3,Hype,,,Responder sobre guardias,Universitario,Incompleto,Lic. en Psicologia,UBA - Universidad de Buenos Aires,Responder sobre entrevistas técnicas,Hasta 2,"HR, Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres",Hasta 6 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,29,Hombre Cis,Sí,,True,Junior,685830.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3500000.0,,Mi sueldo está dolarizado (pero cobro en moneda local),,De uno a tres sueldos,Performance grupal,Dos,20.0,Noviembre,2,"Abono de celular, Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",,UX/UI Designer,15,5,3,5,"Amazon Web Services, Firebase","CSS, HTML, Java, Javascript, Python, SQL, TypeScript","Angular, Bootstrap, Django, Drupal, Flask, jQuery, Next.js, Node.js, React.js, SwiftUI, Vue.js, WordPress","MongoDB, MySQL, SQLite",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,Sí,2,3,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,39,Queer,No,,True,Senior,3500000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7264398.0,4636010.0,Cobro parte del salario en dólares,1450,No,No recibo bono,Uno,10.0,Julio,2,"Abono de Internet, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Technical Leader,11,10,5,5,Linux,"CSS, HTML, Javascript, PHP, SQL",Ninguno de los anteriores,MySQL,"PHPUnit, Selenium",De 2001a 5000 personas,100% remoto,0,,Sí,5,4,Llegó para quedarse,windsurf,,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Terminar encuesta,,,,,,,,,,,36,Hombre Cis,Sí,,True,Senior,7264398.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,3000000.0,Cobro parte del salario en dólares,1460,De uno a tres sueldos,Mix de las anteriores,No,0.0,No tuve,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs",2,"No, pero escucho ofertas.",,Manager / Director,15,5,10,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,No,Sí,4,5,Hype,No,,Terminar encuesta,,,,,,,,,,,,,,,,39,Mujer Cis,Sí,,True,Senior,4500000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),9500000.0,,Cobro parte del salario en dólares,,No,No recibo bono,Dos,10.0,Octubre,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,Sales / Pre-Sales,4,2,2,1,Amazon Web Services,"Python, SQL, TypeScript","Node.js, React.js","Amazon RDS/Aurora, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),2,Ajustes por inflación trimestrales,No,10,4,Llegó para quedarse,Cursor,,Responder sobre mis estudios,Universitario,Completo,Ingeniería Industrial,ITBA Instituto Tecnológico de Buenos Aires,Terminar encuesta,,,,,,,,,,,28,Hombre Cis,Sí,,True,Semi-Senior,9500000.0
Buenos Aires,Full-Time,Contractor,7000000.0,7000000.0,Cobro todo el salario en dólares,,Menos de un sueldo,Mix de las anteriores,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Developer,5,0,5,0,"Firebase, Google Cloud Platform, Kubernetes",Python,FastApi,Google Cloud Storage,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,No sé,0,5,Vibequé?,cursor,,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas de Información,UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura",,Hasta 4 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,,,,,30,Hombre Cis,Sí,,True,Semi-Senior,7000000.0
Buenos Aires,Full-Time,Contractor,6600000.0,,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,3,"Abono de Internet, Horarios flexibles",3,"No, pero escucho ofertas.",,Data Governance / GRC,8,1,1,0,"Snowflake, MDM, Sigma",SQL,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,No,8,5,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,31,Mujer Cis,Sí,,True,Senior,6600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3300000.0,3000000.0,Mi sueldo está dolarizado (pero cobro en moneda local),,Menos de un sueldo,Mix de las anteriores,Dos,5.0,Noviembre,3,"Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Tengo dos trabajos full time,Business Analyst,15,0,15,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,,No,8,4,Vibequé?,,,Responder sobre mis estudios,Terciario,Completo,Analista de Sistemas,ORT,Terminar encuesta,,,,,,,,,,,45,Hombre Cis,Sí,,True,Senior,3300000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4700100.0,4496100.0,Cobro parte del salario en dólares,,No,No recibo bono,Uno,14.0,Noviembre,2,"Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Viáticos",3,"No, pero escucho ofertas.",,Technical Leader,6,3,2,2,Kubernetes,"CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js, Nestjs",PostgreSQL,"Jest, Playwright ",De 201 a 500 personas,Híbrido (presencial y remoto),2,,Sí,6,5,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,31,Mujer Cis,Sí,,True,Senior,4700100.0
Santa Fe,Full-Time,Staff (planta permanente),2600959.0,2173483.0,Mi sueldo está dolarizado (pero cobro en moneda local),,Un sueldo,Performance de la compañía,Uno,5.0,Septiembre,3,"Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Developer,3,2,2,0,Ninguna de las anteriores,Python,Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,No,10,5,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,26,Mujer Cis,Sí,,True,Semi-Senior,2600959.0
Río Negro,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1197157.94,1172661.0,Mi sueldo está dolarizado (pero cobro en moneda local),1470.71,Menos de un sueldo,Mix de las anteriores,No,0.0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",,Developer,1,1,1,0,Amazon Web Services,Java,Spring,Amazon DynamoDB,JUnit,Más de 10000 personas,100% remoto,0,"El sueldo base está dolarizado, el pago en pesos argentinos es acorde a un promedio del valor del dolar oficial del último mes.",Sí,9,5,Llegó para quedarse,No.,"Hacemos soporte y pequeñas mejoras a aplicaciones ya en producción, la verdad es tranqui el laburo.",Responder sobre guardias,Terciario,Completo,Tecnicatura en Programación,UB - Universidad de Belgrano,Responder sobre entrevistas técnicas,Entre 2 y 4,"Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a","Más de 8 horas, sin problemas",Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,"Sí, activa",13.0,Bruto,Responder sobre mis estudios,30,Hombre Cis,Sí,Cualquiera que ofrezca trabajo remoto.,True,Junior,1197157.94
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,2000000.0,,Mi sueldo está dolarizado (pero cobro en moneda local),al dia,No,No recibo bono,Dos,9.0,Octubre,3,Ninguna de las anteriores,3,"Sí, estoy buscando activamente.",,Developer,6,3,5,1,"*BSD, Linux","HTML, Javascript, PHP, SQL",jQuery,"MySQL, PostgreSQL",Ninguna de las anteriores,1 (solamente yo),100% remoto,0,,No sé,10,4,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,32,Hombre Cis,Sí,,True,Senior,2000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3738000.0,2895000.0,Cobro parte del salario en dólares,1451,Un sueldo,Performance de la compañía,Uno,10.0,Julio,2,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida",2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,10,1,1,0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Go, Python",Ninguno de los anteriores,"Amazon DynamoDB, MySQL, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,,No sé,9,5,Llegó para quedarse,Cursor,,Terminar encuesta,,,,,,,,,,,,,,,,34,Hombre Cis,Sí,Mercado Libre,True,Senior,3738000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,17940000.0,,Cobro todo el salario en dólares,1495,No,No recibo bono,No,0.0,No tuve,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,BI Analyst / Data Analyst,15,5,2,2,"Docker, Linux","Python, SQL",Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,No,Sí,0,3,Llegó para quedarse,No,,Terminar encuesta,,,,,,,,,,,,,,,,43,Hombre Cis,No,,True,Senior,17940000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,2300000.0,Cobro parte del salario en dólares,1425,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,1,"No, pero escucho ofertas.",,UX Researcher,7,0,6,0,Ninguna de las anteriores,R,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),1,,No sé,0,3,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,34,Hombre Cis,No,,True,Senior,2800000.0
Catamarca,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3500000.0,,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Clases de idiomas",2,"No, pero escucho ofertas.",,Developer,5,0,0,0,"Amazon Web Services, Docker, Linux","Java, Javascript","Next.js, React.js, Spring","Amazon RDS/Aurora, PostgreSQL, Valkey","Jest, JUnit, Bruno",De 11  a 50  personas,100% remoto,0,No,No,9,5,Llegó para quedarse,No,Usamos IA por consola,Responder sobre mis estudios,Maestría,Completo,Ingeniería en Informática,,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,,,,,35,Hombre Cis,No,No hay,True,Semi-Senior,3500000.0
Río Negro,Full-Time,Contractor,5800000.0,5500000.0,Cobro todo el salario en dólares,1450,Un sueldo,Mix de las anteriores,No,0.0,No tuve,3,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Data Engineer,7,0,7,0,Linux,"Python, SQL","Hadoop, Spark",PostgreSQL,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,Tengo menos de 6 meses en la empresa,No sé,9,3,Llegó para quedarse,VS Code,,Responder sobre mis estudios,Universitario,Incompleto,Ingeniería Electrónica,UBA - Universidad de Buenos Aires,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Hasta 4 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,34,Hombre Cis,Sí,-,True,Senior,5800000.0
Entre Ríos,Part-Time,Contractor,580000.0,580000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,Horarios flexibles,1,"Sí, estoy buscando activamente.",,Developer,4,0,0,0,"Amazon Web Services, Docker","CSS, HTML, Javascript, SQL, TypeScript","Bun, Next.js, Node.js, React.js",PostgreSQL,"Cypress, Postman",De 2 a 10 personas,100% remoto,0,no,No,2,5,Vibequé?,copilot,"Me sirve para seguir estudiando, no perder el ritmo y cobrar algo",Terminar encuesta,,,,,,,,,,,,,,,,49,Mujer Cis,Sí,,True,Semi-Senior,580000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7950000.0,5000000.0,Cobro parte del salario en dólares,1470,De uno a tres sueldos,Mix de las anteriores,No,0.0,No tuve,2,Clases de idiomas,2,"No, pero escucho ofertas.",,Manager / Director,30,6,6,70,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),3,No,Sí,5,3,Llegó para quedarse,No,,Terminar encuesta,,,,,,,,,,,,,,,,60,Hombre Cis,Sí,,True,Senior,7950000.0
Entre Ríos,Full-Time,Staff (planta permanente),1930357.0,1627197.0,Mi sueldo está dolarizado (pero cobro en moneda local),1425,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Guardería o pago para cubrir costo de guardería",2,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,6,6,3,3,"Azure, Windows Server",Python,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,NO,Sí,5,5,Hype,Si,Endava se está viniendo abajo hace rato por decisiones de management. El intento de hacerse IA native justo antes de que la burbuja explote puede llegar a ser el ultimo clavo del ataud,Responder sobre guardias,Universitario,Completo,Licenciatura en Ciencias de la Comunicación,UNER - Universidad Nacional de Entre Ríos,Responder sobre entrevistas técnicas,Entre 2 y 4,"Técnica - Diseño & Arquitectura, Manager directo/a",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Menos de 2 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,34,Hombre Cis,Sí,,True,Senior,1930357.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2750000.0,2750000.0,Cobro todo el salario en dólares,1800,De uno a tres sueldos,Mix de las anteriores,Uno,80.0,Septiembre,3,"Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,2,2,2,0,"Amazon Web Services, Docker, Google Cloud Platform",Python,Flask,"Microsoft SQL Server, MySQL","Postman, Selenium, SoapUI, Visual Studio Coded UI",De 51 a 100 personas,100% remoto,0,,No sé,10,5,Llegó para quedarse,Cursor,,Terminar encuesta,,,,,,,,,,,,,,,,34,Hombre Cis,No,,True,Junior,2750000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,1740000.0,Cobro parte del salario en dólares,1450,No,No recibo bono,No,0.0,No tuve,3,Ninguna de las anteriores,4,"Sí, estoy buscando activamente.",,Data Scientist,6,10,1,0,Ninguna de las anteriores,"Bash/Shell, Python",Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),3,,No,7,5,Llegó para quedarse,Sí,,Terminar encuesta,,,,,,,,,,,,,,,,39,Hombre Cis,Sí,,True,Senior,2000000.0
Buenos Aires,Full-Time,Contractor,2950000.0,,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,Horarios flexibles,2,"Sí, estoy buscando activamente.",,Developer,3,3,2,0,"Docker, Linux","Python, SQL",Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,"Si, pero en puestos de mas altos",Sí,7,5,Llegó para quedarse,Si,"La calidad humana es excelente, pero la compañia esta estancada hace un año largo ya...",Responder sobre mis estudios,Doctorado,Completo,Geofísica,UNLP - Universidad Nacional de La Plata,Terminar encuesta,,,,,,,,,,,38,Hombre Cis,Sí,Creo que las del rubro bancario/finanzas,True,Semi-Senior,2950000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4768000.0,3700000.0,Cobro parte del salario en dólares,1470,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs",1,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,28,4,7,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless, VMWare, Windows Server","Bash/Shell, Go, Groovy, Java, Python, SQL","Node.js, React.js","ElasticSearch, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL","Postman, Selenium",Más de 10000 personas,100% remoto,0,No,Sí,4,5,Vibequé?,VS Code,Solo le falta actualizar los salarios y sería el lugar ideal,Terminar encuesta,,,,,,,,,,,,,,,,47,Hombre Cis,Sí,Desconozco,True,Senior,4768000.0
Buenos Aires,Full-Time,Freelance,1200000.0,1000000.0,Mi sueldo está dolarizado (pero cobro en moneda local),,No,Performance individual,No,0.0,No tuve,1,"Clases de idiomas, Horarios flexibles",1,"Sí, estoy buscando activamente.",,Recruiter,4,2,4,0,"Google Cloud Platform, SAP","SQL, Python ","SAP, WordPress","Microsoft SQL Server, SQLite",Ninguno,De 2 a 10 personas,100% remoto,2,No,Sí,7,5,Llegó para quedarse,No,No,Terminar encuesta,,,,,,,,,,,,,,,,30,Mujer Cis,Sí,Hay varias,True,Semi-Senior,1200000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,9100000.0,8500000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",3,"Sí, estoy buscando activamente.",,Technical Leader,15,2,2,5,"Docker, Google Cloud Platform, Linux","Bash/Shell, Python, SQL","fastapi (hay q sumarla a la lista, es uno de los FW q mas ha crecido en los ultimos 5, casi nadie usa flask)","Google Cloud Storage, PostgreSQL, alloydb","fastapi's /docs (former swagger, open api), cURL, pytest, python's built-in unittest ",De 201 a 500 personas,100% remoto,0,no,No sé,8,4,Hype,"PyCharm, Cursor",,Responder sobre entrevistas técnicas,Terciario,Completo,Analista de Sistemas,,Terminar encuesta,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura, Manager directo/a, Técnica - Conocimientos del stack (en llugar de coding). Manager + un companero q este en el proyecto hace un tiempo. Challenges p hacer en casa.","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a, Hacer un challenge en ccasa y defenderlo con entrevistador despues.-- Analizar PRs p mostrar cómo pienso.",Hasta 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,45,Mujer Cis,Sí,,True,Senior,9100000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000000.0,3500000.0,Cobro parte del salario en dólares,1460,De uno a tres sueldos,Bono Fijo 1/2 de sueldo + Bono Performance Individual + Bono Performance de la Empresa,Dos,22.0,Diciembre,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",,Manager / Director,25,10,5,50,"Azure, Google Cloud Platform, SAP, Windows Server",,"SAP, SAP Hana",,,Más de 10000 personas,Híbrido (presencial y remoto),1,Aumento de sueldo por inflacion,No,8,5,Vibequé?,No se,,Terminar encuesta,,,,,,,,,,,,,,,,53,Hombre Cis,No,No se,True,Senior,5000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2533000.0,2100000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1500,De uno a tres sueldos,Mix de las anteriores,Uno,10.0,Octubre,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",,HRBP,16,3,10,6,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No,8,5,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,41,Hombre Cis,Sí,,True,Senior,2533000.0
