work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,work_looking_for_job,profile_various_jobs,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,salary_inflation_policy,company_reduction_of_employees,company_recommended,tools_copilotchatgpt,vibe_coding,tools_ide_ia,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,company_max_interview,company_best_interview,profile_prefered_challenges,profile_hours_per_day,company_selection_process,salir_o_seguir_contestando_sobre_las_guardias1,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,profile_age,profile_gender,profile_previous_survey,company_best_companies,sueldo_dolarizado,work_seniority,_sal
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),11000000.0,7900000.0,Cobro parte del salario en dólares,1475,No,No recibo bono,No,1.0,Mayo,3,"Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,QA / Tester,29,7,4,3,"Docker, Kubernetes, Linux","Javascript, SQL, TypeScript",Ninguno de los anteriores,"Cassandra, PostgreSQL, Redis","Jest, Postman, Selenium, Playwright ",De 1001 a 2000 personas,100% remoto,0,Se aumenta 1 vez por año pero como nuestro sueldo depende del dólar aumenta en base a este,Sí,2,4,Hype,Maso. Casi no codeo.,"Se volvió una mierda. Son todos indios, arriba, abajo, a los costados.",Terminar encuesta,,,,,,,,,,,,,,,,47,Hombre Cis,Sí,Ninguna estan todas subidas a la IA y quieren rajar gente,True,Senior,11000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,1800000.0,Cobro parte del salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",,Recruiter,7,0,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,No,Sí,0,5,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,36,Mujer Cis,Sí,,True,Senior,2300000.0
Córdoba,Full-Time,Contractor,9750000.0,9750000.0,Cobro todo el salario en dólares,,Menos de un sueldo,Fijo,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",,Developer,16,3,3,0,"Docker, Firebase, Google Cloud Platform, Linux, Serverless","Javascript, TypeScript","Bun, Node.js, Vue.js",Google Cloud Storage,Jest,De 1001 a 2000 personas,100% remoto,0,,Sí,6,5,Llegó para quedarse,Windsurf,,Responder sobre guardias,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Coding, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 4 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,38,Hombre Cis,Sí,"vercel, linear, ramp, span, anthropic",True,Senior,9750000.0
Buenos Aires,Full-Time,Staff (planta permanente),4800000.0,,Cobro parte del salario en dólares,1435,No,No recibo bono,Dos,16.0,Noviembre,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Plata extra por homeworking",2,"Sí, estoy buscando activamente.",,Manager / Director,15,4,6,23,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,Si,No sé,8,5,Llegó para quedarse,Cursor,,Responder sobre mis estudios,Universitario,Completo,Licenciatura en Informática,Universidad Siglo 21,Responder sobre guardias,Entre 2 y 4,"HR, Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,No,0.0,Bruto,Responder sobre entrevistas técnicas,42,Hombre Cis,Sí,,True,Senior,4800000.0
Santa Fe,Part-Time,Freelance,650000.0,600000.0,Mi sueldo está dolarizado (pero cobro en moneda local),500,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",,Recruiter,5,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,1 (solamente yo),100% remoto,0,No,Sí,0,5,Vibequé?,No,Recruiter it y generalista para Argentina y latam,Terminar encuesta,,,,,,,,,,,,,,,,32,Mujer Cis,No,"Accenture, Google, amazon",True,Semi-Senior,650000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),6000000.0,,Mi sueldo está dolarizado (pero cobro en moneda local),1469,No,No recibo bono,Uno,3.0,Octubre,3,Ninguna de las anteriores,4,"No, pero escucho ofertas.",,Data Scientist,3,0,0,0,"Amazon Web Services, Azure, Google Cloud Platform, Serverless",Python,Ninguno de los anteriores,"Amazon RDS/Aurora, MongoDB, PostgreSQL",Postman,Más de 10000 personas,100% remoto,0,No,Sí,10,5,Llegó para quedarse,Si,,Terminar encuesta,,,,,,,,,,,,,,,,32,Hombre Cis,Sí,,True,Semi-Senior,6000000.0
Buenos Aires,Full-Time,Staff (planta permanente),3600000.0,2600000.0,Cobro parte del salario en dólares,1445,Un sueldo,Mix de las anteriores,Tres,18.0,Octubre,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Networking,12,9,5,0,"Amazon Web Services, Azure, Google Cloud Platform, Linux, VMWare",Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,No,Sí,6,5,Vibequé?,No,,Responder sobre guardias,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Coding, Manager directo/a",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Menos de 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,No,0.0,Neto,Responder sobre mis estudios,30,Hombre Cis,Sí,MeLi,True,Senior,3600000.0
Santa Fe,Full-Time,Contractor,8589800.0,,Cobro todo el salario en dólares,5800,Un sueldo,porcentaje de lo facturado al cliente.,Uno,6.66,Octubre,3,"Capacitaciones y/o cursos, Horarios flexibles",3,"No, pero escucho ofertas.",,Technical Leader,19,6,2,6,"Azure, Docker, Kubernetes","Java, Python, Scala, Domain Specific Language",Spring,"MongoDB, PostgreSQL",JUnit,De 201 a 500 personas,100% remoto,0,No,No,8,1,Hype,No,,Terminar encuesta,,,,,,,,,,,,,,,,44,Hombre Cis,Sí,"Globant, KindaLab",True,Senior,8589800.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4000000.0,3000000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",Tengo dos trabajos full time,Technical Leader,30,0,15,4,"Amazon Web Services, Docker, Kubernetes, Linux, VMWare, Windows Server",".NET, C#, HTML, Java, PHP, Python, SQL, Ninguno de los anteriores",Ninguno de los anteriores,"Amazon RDS/Aurora, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,5,No,Sí,5,5,Vibequé?,,,Responder sobre guardias,Terciario,Completo,Analista de Sistemas,UADE - Universidad Argentina De la Empresa,Terminar encuesta,,,,,,,"Sí, activa",0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,52,Hombre Cis,Sí,,True,Senior,4000000.0
Buenos Aires,Full-Time,Contractor,3000000.0,3000000.0,Cobro todo el salario en dólares,1415,No,No recibo bono,No,0.0,Marzo,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",,BI Analyst / Data Analyst,4,3,2,1,Ninguna de las anteriores,"Python, R, SQL",Ninguno de los anteriores,MariaDB,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,,Sí,5,5,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,31,Hombre Cis,Sí,,True,Semi-Senior,3000000.0
