work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,numero,salary_in_usd,salary_last_dollar_value,salary_pay_cripto,salary_%_cripto,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_boot_camp,profile_boot_camp_carrer,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,profile_age,profile_gender
Argentina,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),99200.0,82336.0,TRUE,,,,,Menos de un sueldo,Performance grupal,Uno,25,Marzo,2,"Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1,Infosec,1.0,1.0,1.0,0.0,"Docker, Linux, VMWare","Assembler, Bash/Shell, C, C++, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,4,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,,,No,0.0,Porcentaje de mi sueldo bruto,23,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000.0,350000.0,TRUE,,,,,3+ sueldos,Performance individual,Más de tres,30%,Julio,2,"Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,12.0,1.0,1.0,0.0,"Amazon Web Services, Windows Server",".NET, C#, Python, SQL",.NET Core,"Amazon DynamoDB, Microsoft SQL Server, Oracle","NUnit, Xunit",De 2001a 5000 personas,Híbrido (presencial y remoto),2,8,,,,,,,,,,35,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),480000.0,327000.0,TRUE,,,,0,No,No recibo bono,Dos,27%,Mayo,3,"Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,13.0,9.0,9.0,0.0,Linux,"HTML, Java, Javascript, Python, SQL","Bootstrap, Django, Hibernate, jQuery, Spring",Oracle,"JUnit, Postman, SoapUI",De 2001a 5000 personas,Híbrido (presencial y remoto),3,6,,,,,,,,,,45,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),500000.0,480000.0,TRUE,Cobro todo el salario en dólares,,Cobro todo el salario criptomonedas,"$2,400",No,No recibo bono,No,0,No tuve,4,Ninguna de las anteriores,4,Developer,6.0,3.0,3.0,0.0,"Arduino o similar, Firebase, Google Cloud Platform, Linux, Microcontroladores","CSS, Javascript, Python, SQL","Angular, Flask","Google Cloud Storage, MariaDB, MySQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,8,Universitario,Completo,Ingeniería en Informática,Universidad nacional de avellaneda,,,No,0.0,Porcentaje de mi sueldo bruto,28,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),740000.0,560000.0,TRUE,,,,,De uno a tres sueldos,Mix de las anteriores,Tres,28,Junio,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Cuota para universidad / posgrados, Vacaciones flexibles (adicionales a las reglamentarias)",3,Networking,18.0,10.0,6.0,5.0,"Linux, OpenShift, VMWare",Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),1,0,,,,,,,,,,49,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),877500.0,877500.0,TRUE,Cobro todo el salario en dólares,135,,,No,No recibo bono,Uno,6,Enero,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Stock options / RSUs",4,Technical Leader,15.0,3.0,3.0,8.0,"Amazon Web Services, Docker, Kubernetes, Linux",Python,Flask,"PostgreSQL, Redis",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),2,8,,,,,,,,,,42,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000.0,950000.0,TRUE,Cobro parte del salario en dólares,285,Cobro todo el salario criptomonedas,90%,No,No recibo bono,No,0,No tuve,4,"Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,QA / Tester,8.0,0.0,0.0,3.0,"Amazon Web Services, Docker, Firebase, Heroku, Linux","Java, Javascript, Kotlin","Node.js, React.js, Spring",MySQL,"Appium, Cucumber, Mocha",De 201 a 500 personas,Híbrido (presencial y remoto),1,10,,,,,,,,,,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),190000.0,160000.0,TRUE,,,,,No,No recibo bono,No,0,No tuve,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Lactario en la oficina, Vacaciones flexibles (adicionales a las reglamentarias)",2,Developer,5.0,0.0,1.0,0.0,Linux,"Javascript, TypeScript","Angular, React.js",PostgreSQL,.,De 201 a 500 personas,Híbrido (presencial y remoto),2,6,Universitario,En curso,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,,,"Sí, activa",0.0,Porcentaje de mi sueldo bruto,25,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,560000.0,400000.0,TRUE,,,,,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,2,Technical Leader,5.0,2.0,2.0,0.0,"Amazon Web Services, Linux, Windows Server","CSS, HTML, Javascript, PHP, SQL","Bootstrap, jQuery","Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),1,8,,,,,,,,,,36,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),167000.0,137000.0,TRUE,,,,,No,No recibo bono,Uno,30,Marzo,3,"Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Vacaciones flexibles (adicionales a las reglamentarias)",3,QA / Tester,1.0,0.0,0.0,0.0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Postman,De 51 a 100 personas,Híbrido (presencial y remoto),1,9,Terciario,En curso,Tecnicatura en Programación,UADE - Universidad Argentina De la Empresa,,,,,,21,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),635000.0,870000.0,TRUE,Cobro parte del salario en dólares,128,,,De uno a tres sueldos,Mix de las anteriores,Uno,23,Marzo,2,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,Technical Leader,10.0,10.0,0.0,0.0,Linux,"HTML, Java, Javascript, Scala, TypeScript","Next.js, Node.js, React.js, Spring",MongoDB,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,10,,,,,,,,,,28,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),259510.0,217894.0,TRUE,Cobro parte del salario en dólares,,,,De uno a tres sueldos,Performance de la compañía,Tres,48%,Junio,3,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",3,Designer,8.0,7.0,0.0,10.0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,10,Secundario,Incompleto,,,-,-,,,,25,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),136000.0,112000.0,TRUE,,,,,No,No recibo bono,Uno,40,Julio,2,Horarios flexibles,2,Developer,1.0,1.0,1.0,2.0,"Docker, Linux","Python, SQL",Flask,MySQL,Postman,De 2 a 10 personas,Híbrido (presencial y remoto),3,4,Universitario,En curso,Ingeniería Electrónica,UNTREF,,,No,0.0,Neto,26,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),662625.0,662625.0,TRUE,Cobro todo el salario en dólares,280,,,No,No recibo bono,Uno,25,Marzo,4,Vacaciones flexibles (adicionales a las reglamentarias),3,Developer,4.0,1.0,1.0,0.0,"Amazon Web Services, Docker, Linux","CSS, HTML, Javascript, PHP, SQL","Bootstrap, Laravel, Node.js, Yii","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, MySQL","Jest, PHPUnit",De 11  a 50  personas,100% remoto,0,10,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,,,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),320000.0,228000.0,TRUE,,,,,No,No recibo bono,Uno,26,Mayo,2,"Descuentos varios (Clarín 365, Club La Nación, etc)",2,Technical Leader,13.0,1.0,0.0,5.0,"Amazon Web Services, Docker, Linux","Bash/Shell, Javascript, PHP, SQL","React.js, Symfony","MySQL, PostgreSQL, Redis","Jest, PHPUnit",De 101 a 200 personas,Híbrido (presencial y remoto),1,8,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,,,No,0.0,Porcentaje de mi sueldo bruto,37,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),300000.0,250000.0,TRUE,,,,,No,No recibo bono,Uno,34,Abril,2,"Abono de Internet, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",2,Consultant,15.0,7.0,1.0,0.0,SAP,ABAP,SAP,"HANA, MySQL",SoapUI,De 201 a 500 personas,100% remoto,0,7,,,,,,,,,,38,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),290000.0,230000.0,TRUE,,,,,No,No recibo bono,Uno,30,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Lactario en la oficina",3,Architect,9.0,0.0,0.0,0.0,"Azure, Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,9,Secundario,Completo,,,,,No,0.0,Bruto,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),380000.0,270000.0,TRUE,,,,,Un sueldo,Mix de las anteriores,Uno,25,Abril,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",2,QA / Tester,8.0,1.0,1.0,0.0,Amazon Web Services,"CSS, HTML, Java, Javascript, SQL",Ninguno de los anteriores,Ninguna de las anteriores,"Appium, Postman, Puppeteer, Selenium",De 501 a 1000 personas,100% remoto,0,4,,,,,,,,,,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1120000.0,1120000.0,TRUE,Cobro todo el salario en dólares,,,,No,No recibo bono,Uno,25,Enero,3,"Capacitaciones y/o cursos, Clases de idiomas",4,Developer,5.0,2.0,2.0,0.0,"Amazon Web Services, Docker","Javascript, TypeScript",Node.js,Ninguna de las anteriores,Jest,De 201 a 500 personas,100% remoto,0,0,Universitario,En curso,Ingeniería en Computación,UNTREF,,,No,0.0,Porcentaje de mi sueldo bruto,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),190000.0,160000.0,TRUE,,,,,De uno a tres sueldos,Mix de las anteriores,Dos,20%,Mayo,2,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs",3,Project Manager,35.0,15.0,3.0,0.0,Ninguna de las anteriores,Ninguno de los anteriores,Power Automate,Microsoft SQL Server,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,8,,,,,,,,,,56,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),80000.0,72376.0,TRUE,,,,,No,No recibo bono,Uno,30,Marzo,2,"Capacitaciones y/o cursos, Horarios flexibles, Sueldo dividido en dos pagos por mes",2,Developer,0.0,0.0,0.0,0.0,Ninguna de las anteriores,Python,Ninguno de los anteriores,MongoDB,"Postman, Selenium",De 201 a 500 personas,Híbrido (presencial y remoto),0,8,,,,,,,,,,24,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),580000.0,380000.0,TRUE,,,,,De uno a tres sueldos,Mix de las anteriores,Dos,40,Julio,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, 2 días off a la semana es decir que tengo 2 findes largos al mes.",3,Architect,10.0,0.0,0.0,0.0,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, OpenShift","Bash/Shell, Python",Flask,"MongoDB, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,8,,,,,,,,,,33,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),200000.0,160000.0,TRUE,,,,,Menos de un sueldo,Performance de la compañía,Dos,40,Junio,3,Ninguna de las anteriores,3,Scrum Master,2.0,18.0,2.0,9.0,Azure,".NET, HTML, Python",.NET Core,"Microsoft SQL Server, MySQL","Selenium, Visual Studio Coded UI",Más de 10000 personas,Híbrido (presencial y remoto),3,9,,,,,,,,,,40,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),91000.0,91000.0,TRUE,,,,,No,No recibo bono,No,0,Enero,2,"Capacitaciones y/o cursos, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,SysAdmin / DevOps / SRE,2.0,2.0,0.0,0.0,"Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 501 a 1000 personas,100% presencial,0,8,Secundario,Completo,Medicina,UBA - Universidad de Buenos Aires,,,No,0.0,Porcentaje de mi sueldo bruto,24,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),330000.0,230000.0,TRUE,,,,,De uno a tres sueldos,Performance de la compañía,Dos,30,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,Data Governance Specialist,2.0,0.0,0.0,0.0,"Amazon Web Services, Linux, Snowflake, OvalEdge, PowerBI","Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,9,,,,,,,,,,37,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),150000.0,124500.0,TRUE,,,,,No,No recibo bono,Dos,16,Junio,2,"Descuento en gimnasios / Clases de gimnasia online, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles",1,Developer,2.0,2.0,1.5,0.0,"Azure, Docker, OpenShift",".NET, C#",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB","Postman, Xunit",De 501 a 1000 personas,100% remoto,0,8,,,,,,,,,,25,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),460000.0,280000.0,TRUE,,,,,De uno a tres sueldos,Mix de las anteriores,Tres,35,Mayo,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,Project Manager,20.0,4.0,4.0,8.0,"Kubernetes, Mainframe, OpenShift","Java, TypeScript","React.js, Spring",MongoDB,Selenium,De 1001 a 2000 personas,100% remoto,0,8,,,,,,,,,,47,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),313000.0,235000.0,TRUE,,,,,Menos de un sueldo,Performance individual,Dos,38,Julio,3,Comidas pagas / subvencionadas,3,Consultant,7.0,1.0,1.0,0.0,SAP,ABAP,SAP,HANA,SoapUI,De 201 a 500 personas,Híbrido (presencial y remoto),1,5,,,,,,,,,,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),115000.0,92725.0,TRUE,,,,,No,No recibo bono,Dos,30,Junio,1,Horarios flexibles,1,Content administrator,3.0,3.0,3.0,0.0,Ninguna de las anteriores,"HTML, PHP",WordPress,MySQL,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,2,Secundario,Completo,,,,,No,0.0,Neto,24,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),380000.0,0.0,TRUE,,,,,No,No recibo bono,Dos,35%,Mayo,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida",1,Developer,4.0,2.0,2.0,3.0,"Azure, Docker",TypeScript,Node.js,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,7,,,,,,,,,,33,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),237500.0,205000.0,TRUE,,,,,Un sueldo,Performance individual,Uno,23,Mayo,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",2,Developer,3.0,0.0,3.0,0.0,"Amazon Web Services, Docker, Serverless","Java, Javascript, Python, SQL","Node.js, Spring",Amazon DynamoDB,"Jest, Postman, SoapUI",De 101 a 200 personas,100% remoto,0,8,Universitario,En curso,Licenciatura en Informática,UP - Universidad de Palermo,,,"Sí, pasiva",5.0,Porcentaje de mi sueldo bruto,25,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),250000.0,210000.0,TRUE,,,,,No,No recibo bono,Uno,40,Enero,2,Ninguna de las anteriores,2,Developer,2.0,2.0,2.0,0.0,Ninguna de las anteriores,Javascript,Vue.js,"Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,0,,,,,,,,,,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),170000.0,140000.0,TRUE,Cobro parte del salario en dólares,Dolar oficial,,,Menos de un sueldo,Performance individual,Uno,30,Julio,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas",2,Developer,2.0,2.0,2.0,2.0,"Docker, Linux, OpenShift, SAP","CSS, HTML, Java, Javascript, TypeScript","Next.js, Node.js, React.js, Spring","ElasticSearch, MongoDB","Jest, JUnit",De 501 a 1000 personas,100% remoto,0,8,,,,,,,,,,26,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,100000.0,90000.0,TRUE,,,,,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,2,Consultant,14.0,11.0,11.0,0.0,"Amazon Web Services, Linux, Windows Server","C++, HTML, PHP, SQL","Bootstrap, WordPress","Microsoft SQL Server, MySQL",Visual Studio Coded UI,1 (solamente yo),Híbrido (presencial y remoto),3,0,,,,,,,,,,35,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),265403.0,220286.0,TRUE,,,,,No,No recibo bono,Uno,45,Enero,3,Ninguna de las anteriores,4,Technical Leader,9.0,5.0,1.0,3.0,Windows Server,".NET, C++, C#, HTML, Java, Javascript, SQL",".NET Core, Angular, jQuery, React.js","Microsoft SQL Server, SQLite",NUnit,De 2 a 10 personas,Híbrido (presencial y remoto),1,10,Universitario,En curso,Tecnicatura en electromedicina,UNSAM - Universidad de San Martín,,,No,0.0,Porcentaje de mi sueldo bruto,27,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),468000.0,323000.0,TRUE,,,,,No,No recibo bono,Dos,25,Mayo,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",3,Architect,21.0,0.0,0.0,3.0,"Amazon Web Services, Linux, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,10,Maestría,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,No,No,0.0,Neto,44,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1083600.0,1038450.0,TRUE,,,Cobro todo el salario criptomonedas,"3,600$",No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",4,Developer,2.0,0.0,0.0,0.0,"Amazon Web Services, Docker","CSS, HTML, Javascript",React.js,Ninguna de las anteriores,"Jest, React Testing Library",De 201 a 500 personas,100% remoto,0,0,Terciario,Completo,Diseño Multimedial,Escuela Da Vinci,,,No,0.0,Porcentaje de mi sueldo bruto,23,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),800000.0,525000.0,TRUE,,,,,3+ sueldos,Performance individual,Más de tres,300,Julio,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",4,Data Engineer,5.0,0.0,0.0,0.0,Ninguna de las anteriores,"Python, SQL",Ninguno de los anteriores,"MongoDB, Oracle",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),2,2,,,,,,,,,,34,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),217000.0,180000.0,TRUE,Cobro parte del salario en dólares,,,,Menos de un sueldo,"Ingles, Performance individual",Más de tres,"36,2",Junio,2,Clases de idiomas,2,Developer,3.0,3.0,2.0,0.0,Ninguna de las anteriores,"HTML, Javascript",SAP,Ninguna de las anteriores,SoapUI,De 11  a 50  personas,Híbrido (presencial y remoto),1,0,,,,,,,,,,41,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),102000.0,85000.0,TRUE,,,,0,No,No recibo bono,No,0,No tuve,1,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias), prepaga",1,QA / Tester,1.0,0.0,0.0,0.0,Ninguna de las anteriores,HTML,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,7,,,,,,,,,,43,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000.0,292000.0,TRUE,,,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,52,Julio,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,UX Manager,14.0,3.0,1.0,17.0,SAP,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),2,9,Terciario,Incompleto,Diseño Gráfico,Universidad Maimónides,,,,,,40,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),350000.0,220000.0,TRUE,,,,,De uno a tres sueldos,Performance individual,Tres,39.5,Junio,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles",4,Architect,9.0,5.0,2.0,0.0,"Amazon Web Services, Azure, Google Cloud Platform, OpenShift, OpenStack, VMWare",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,8,,,,,,,,,,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000.0,400000.0,TRUE,Cobro todo el salario en dólares,240,,0,No,No recibo bono,No,0,No tuve,3,"Estacionamiento gratuito / subvencionado, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,Technical Leader,20.0,0.0,2.0,3.0,"Amazon Web Services, Docker, Serverless","Javascript, SQL, TypeScript","Node.js, React.js","MongoDB, PostgreSQL, Redis",Jest,De 2001a 5000 personas,Híbrido (presencial y remoto),1,7,Universitario,Completo,Licenciatura en Sistemas de Información,UCAECE - Centro de Altos Estudios en Ciencias Exactas,,,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,44,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),92.0,92.0,TRUE,,,,,No,No recibo bono,Dos,6%,Junio,1,Capacitaciones y/o cursos,1,Developer,0.0,0.0,0.0,0.0,Ninguna de las anteriores,GENEXUS,Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),2,0,Universitario,En curso,Analista Programador,Instituto Superior de Cordoba,no,no,,,,32,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1125000.0,0.0,TRUE,Cobro todo el salario en dólares,229,,0,Menos de un sueldo,Performance de la compañía,Uno,25,Marzo,4,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",4,Developer,15.0,6.0,3.0,0.0,"Google Cloud Platform, Linux","CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Next.js, Node.js, React.js","ElasticSearch, Google Cloud Storage","Cypress, Jest, PHPUnit, Postman",De 51 a 100 personas,100% remoto,0,9,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,No,0.0,Porcentaje de mi sueldo bruto,35,Varón Cis
